Date,Open,High,Low,Close,Adj Close,Volume
5/1/2009,21.76,26.290001,21.120001,24.219999,20.855825,329523500
6/1/2009,24.83,25.639999,22.549999,23.33,20.089447,230511000
7/1/2009,23.5,26.84,22.049999,25.120001,21.630816,281638600
8/1/2009,25.52,27.299999,24.889999,26.040001,22.423027,242643100
9/1/2009,25.889999,28.68,25.25,27.459999,23.64579,284735300
10/1/2009,27.76,29.98,26.84,27.370001,23.568293,237933500
11/1/2009,27.379999,30.93,27.01,30.219999,26.022419,241033300
12/1/2009,30.440001,32.75,30.299999,32.25,27.770452,237870600
1/1/2010,32.5,32.75,28.709999,29.549999,25.738926,232174700
2/1/2010,29.6,31.52,28.99,31.24,27.210964,230552400
3/1/2010,31.4,35.599998,31.34,34.91,30.407646,306740800
4/1/2010,35.07,37.490002,35.009998,36.84,32.088741,237911900
5/1/2010,36.950001,37.98,31,33.419998,29.10981,381609800
6/1/2010,33.060001,35.830002,31.360001,31.5,27.437429,288582900
7/1/2010,31.469999,34.799999,30.719999,33.689999,29.344988,227267000
8/1/2010,34.139999,35.41,31.549999,32.540001,28.3433,225905800
9/1/2010,33,34.990002,32.68,33.099998,28.831081,214082100
10/1/2010,33.299999,36.52,33.080002,36.130001,31.470297,235383500
11/1/2010,36.209999,38,35.150002,36.509998,31.801287,277550300
12/1/2010,37.150002,37.990002,36.509998,37.509998,32.672321,157233100
1/1/2011,37.740002,40,37.619999,38.869999,34.227242,196560600
2/1/2011,39.040001,44.049999,39.040001,43.740002,38.515556,248538800
3/1/2011,43.630001,44.34,40.419998,43.09,37.943199,213021500
4/1/2011,43.23,43.380001,40.459999,43.099998,37.952,147489900
5/1/2011,43.470001,44.130001,40.549999,41.630001,36.657589,219206400
6/1/2011,41.529999,41.59,37.189999,39.040001,34.376938,235019900
7/1/2011,39.150002,40.970001,38.459999,38.619999,34.007111,217774800
8/1/2011,38.73,38.75,29.6,34.060001,29.991772,491399200
9/1/2011,34.09,34.330002,29.049999,30.16,26.557594,278302800
10/1/2011,30.030001,36.599998,28.190001,34.880001,30.713825,237605600
11/1/2011,34.43,37.419998,33.279999,35.849998,31.567965,302233800
12/1/2011,36.029999,37.799999,34.509998,37.5,33.020885,191766800
1/1/2012,37.970001,40.25,37.939999,38.900002,34.828869,211135700
2/1/2012,39.25,42.369999,38.560001,41.990002,37.595486,202164000
3/1/2012,42.130001,44.5,41.700001,43.779999,39.198147,190630500
